c1,c2
16.27288889,15.53152778
16.27019444,15.47402778
16.23447222,15.49377778
16.22055556,15.43741667
16.23072222,15.50113889
16.21538889,15.50016667
16.31111111,15.53388889
16.50891667,15.42247222
16.46466667,15.538
16.16630556,15.63913889
16.24672222,15.63619444
16.28252778,15.69616667
16.31669444,15.43830556
16.37938889,15.47533333
16.44233333,15.61172222
