g1	g2
16.54575	15.50422222
16.54686111	15.50441667
16.54863889	15.50458333
16.51933333	15.44752778
16.51613889	15.44658333
16.51438889	15.43408333
16.51833333	15.42897222
16.51694444	15.42466667
16.52113889	15.41958333
16.509	15.42230556
16.49891667	15.43136111
16.49627778	15.43666667
16.49869444	15.44641667
16.4995	15.45230556
16.49566667	15.46133333
16.48661111	15.46694444
16.48508333	15.49713889
16.48133333	15.50058333
16.47863889	15.50538889
16.47463889	15.53022222
16.4665	15.53397222
16.46466667	15.53769444
16.46963889	15.53705556
16.48802778	15.55097222
16.47766667	15.59488889
16.47119444	15.61344444
16.46155556	15.64725
16.47483333	15.6085
16.38880556	15.43294444
16.34866667	15.41347222
16.34725	15.39702778
16.33075	15.40638889
16.32619444	15.40491667
16.31644444	15.40447222
16.3175	15.41372222
16.32208333	15.42458333
16.31822222	15.42686111
16.31922222	15.43041667
16.317	15.43811111
16.324	15.44725
16.35486111	15.45433333
16.37772222	15.47497222
16.40641667	15.51227778
16.40247222	15.52277778
16.415	15.53847222
16.42352778	15.55916667
16.42252778	15.56344444
16.41597222	15.56566667
16.42327778	15.56694444
16.44336111	15.61319444
16.18730556	15.63758333
16.17836111	15.65005556
16.16452778	15.65469444
16.15788889	15.65541667
16.15922222	15.65405556
16.16036111	15.64852778
16.15880556	15.64725
16.15991667	15.6425
16.16172222	15.63238889
16.16694444	15.63336111
16.16902778	15.63625
16.17583333	15.63063889
16.17908333	15.62766667
16.20708333	15.61291667
16.20263889	15.59119444
16.22233333	15.57355556
16.22391667	15.57525
16.22713889	15.60277778
16.21933333	15.61580556
16.22161111	15.61830556
16.22847222	15.63630556
16.22930556	15.64988889
16.24836111	15.64563889
16.2465	15.63755556
16.27094444	15.674
16.27294444	15.684
16.27933333	15.69836111
16.28319444	15.69558333
16.32063889	15.68788889
16.32286111	15.68736111
16.32680556	15.69522222
16.44244444	15.90516667
16.39991667	15.89869444
16.35813889	15.97763889
16.36391667	15.97325
16.3505	15.97108333
16.34277778	16.00402778
16.35588889	15.95858333
16.39061111	15.89094444
16.40080556	15.87783333
16.41177778	15.86502778
16.39791667	15.86283333
16.39447222	15.82833333
16.39611111	15.82611111
16.39836111	15.82255556
16.40027778	15.81975
16.45636111	16.09263889
16.46555556	16.10077778
16.39994444	16.07877778
16.39891667	16.05877778
16.42141667	15.98805556
16.42497222	15.98358333
16.47875	15.98313889
16.48244444	15.94244444
16.46333333	15.90661111
16.37525	15.57033333
16.374	15.57325
16.37083333	15.57522222
16.36347222	15.57941667
16.362	15.57305556
16.36136111	15.57633333
16.3315	15.57833333
16.14994444	15.45986111
16.14322222	15.4345
16.1455	15.42741667
16.14877778	15.42091667
16.17830556	15.43188889
16.18669444	15.43680556
16.19769444	15.46555556
16.20719444	15.46975
16.21044444	15.47483333
16.20875	15.47580556
16.20436111	15.48563889
16.20186111	15.49363889
16.21155556	15.50025
16.22105556	15.50277778
16.22336111	15.51097222
16.23016667	15.50852778
16.23561111	15.49586111
16.24308333	15.49836111
16.25422222	15.51627778
16.26075	15.50980556
16.26075	15.51294444
16.265	15.51702778
16.26605556	15.51905556
16.27286111	15.53105556
16.28947222	15.54497222
16.29461111	15.55225
16.30861111	15.55555556
16.27019444	15.47341667
16.25802778	15.49336111
16.25063889	15.48672222
16.24758333	15.48525
16.22822222	15.47336111
16.21780556	15.47072222
16.22027778	15.43788889
16.22661111	15.44083333
16.23186111	15.44722222
16.23975	15.44761111
16.24419444	15.45147222
16.25294444	15.46033333
16.27063889	15.45663889
16.28397222	15.45116667
16.28636111	15.47916667
16.32186111	15.48286111
16.30008333	15.49113889
16.29763889	15.49880556
16.28527778	15.51472222
16.31047222	15.54513889
16.30894444	15.55461111
