g1	g2
16.44325	15.90525
16.44252778	15.90519444
16.44216667	15.90505556
16.443	15.90561111
16.44325	15.90625
16.39980556	15.89844444
16.39925	15.89933333
16.35830556	15.97763889
16.35913889	15.97827778
16.36391667	15.97325
16.34205556	16.00413889
16.34238889	16.00447222
16.34269444	16.00461111
16.34211111	16.00480556
16.34180556	16.00494444
16.34177778	16.00430556
16.342	16.00425
16.35022222	15.97097222
16.34980556	15.97219444
16.35552778	15.95894444
16.35630556	15.95822222
16.35616667	15.95833333
16.35563889	15.95844444
16.35536111	15.95858333
16.39030556	15.89080556
16.39030556	15.89080556
16.40105556	15.87811111
16.41111111	15.86602778
16.41183333	15.86488889
16.41155556	15.86475
16.41066667	15.86483333
16.40886111	15.86516667
16.40969444	15.86611111
16.39811111	15.86286111
16.39447222	15.82808333
16.39419444	15.8285
16.39372222	15.82922222
16.39433333	15.82688889
16.39372222	15.8265
16.39513889	15.82597222
16.39475	15.82569444
16.39711111	15.82391667
16.39694444	15.82394444
16.39744444	15.82166667
16.39775	15.82302778
16.39808333	15.82172222
16.39822222	15.82138889
16.3985	15.82136111
16.40002778	15.81947222
16.3995	15.81908333
16.39755556	15.81516667
