prod_lait_Tr,prod_lait_Fr,monthsnbMois
20,107,August
20,116,September
17,110,October
14,108,November
13,112,December
13,115,January
13,110,February
13,112,March
13,110,April
13,106,May
13,107,June
87,115,July
68,108,August
68,116,September
64,110,October
61,105,November
51,111,December
49,112,January
49,104,February
49,113,March
45,108,April
45,107,May
45,106,June
87,117,July
68,105,August
68,112,September
64,110,October
56,112,November
49,110,December
46,110,January
46,107,February
46,109,March
38,108,April
38,105,May
38,110,June
87,104,July
68,109,August
68,109,September
64,112,October
60,107,November
50,114,December
47,108,January
47,109,February
47,107,March
42,106,April
42,109,May
42,107,June
87,112,July
68,106,August
68,112,September
64,110,October
57,107,November
49,107,December
48,112,January
48,110,February
48,107,March
42,109,April
42,111,May
42,107,June
87,110,July
68,104,August
68,110,September
64,109,October
60,109,November
51,109,December
47,108,January
47,109,February
47,113,March
40,107,April
40,113,May
40,104,June
110,105,July
80,110,August
80,111,September
76,113,October
71,111,November
57,108,December
50,106,January
50,111,February
50,108,March
27,112,April
27,110,May
27,115,June
87,110,July
68,106,August
68,114,September
64,112,October
60,108,November
55,107,December
51,110,January
51,111,February
51,113,March
50,108,April
50,112,May
50,110,June
87,109,July
68,108,August
68,109,September
64,110,October
59,105,November
50,110,December
47,113,January
47,109,February
47,106,March
39,109,April
39,106,May
39,113,June
87,106,July
68,109,August
68,106,September
64,114,October
58,110,November
51,108,December
46,107,January
46,107,February
46,111,March
38,107,April
38,113,May
38,107,June
110,110,July
