cycle,nbheard_in_csp,nb_minifarms,cspNumber,crop_residue_price,delivered_price,collected_price,yearNb,biomass4milk,milk4minifarm,milk4collected,milk4traditional,milk2autoconsumption,milk2milkery,milk2market,producedMilk,minifarmIncome,minifarmExpense,collectedIncome,collectedExpense,traditionalIncome,traditionalExpense,producedCI,collectedCI,biomassHead,biomassHa,cowDensity,cowNb,milkingNb,minifarmNb,collectedNb,traditionalNb,pastoral4minifarm,pastoral4collected,pastoral4others,nmPastoral4collected,nmPastoral4others,residue4minifarm,residue4collected,residue4others,complement4minifarm,complement4collected,complement4others
9,23631,30,100,50,340,300,0,14.775996256636247,224.5,38.329235165700396,0.01562759299786445,1602.0,148913.14693704018,107833.47706939248,258751.20215164992,605766.6666666666,148400.0,165890.6902913941,78074.4847816191,15.265478473899387,0.0,2239.673954108951,3829.6850214999317,87.60005345123355,25.60520341246878,0.2922966642562958,232427,45372,212,33795,198632,0.0,66.77859247713029,68.9489223261499,68.94892232614949,68.94892232614994,165.0,67.28102517717146,2.667799197032796,75.0,22.770601336302896,0.0
9,0,30,0,50,340,300,0,68.64024824194927,224.5,7.403584746494852,0.01254103775040793,176.0,26123.143434951882,21665.436465437466,48310.23766011908,619230.0,148400.0,33770.55193309455,8065.217391304348,8.27244993749374,0.0,956.3701425006379,1390.998090074267,85.04781757675316,25.60520341246878,0.301068318294715,239402,46748,212,32300,207102,0.0,64.74227278214164,66.94008892782784,66.94008892782846,66.94008892782813,165.0,12.140172047249639,2.646090599976042,75.0,2.46244385937742,0.0
9,1188,30,5,50,340,300,0,57.54583255316894,224.5,8.823069846234874,0.01614329390726185,269.0,35757.09378955424,21642.67072404096,58113.356030896844,577343.3333333334,145600.0,38900.376485267676,11765.337249432197,10.682437911665076,0.0,1292.6759263630277,1748.62098844569,85.1417073970254,25.60520341246878,0.30073631590530386,239138,46697,208,32570,206568,0.0,64.87382115234537,67.01398844809292,67.01398844809279,67.01398844809299,165.0,14.935624451232563,2.7123338702573783,75.0,3.454629203132197,0.0
9,2980,30,10,50,340,300,0,45.27775246754514,224.5,10.782504109323614,0.01689905600316651,377.0,42097.27098488674,31805.41045126847,74738.87149144965,603521.6666666666,147000.0,48785.01270299531,16697.31509169135,12.220319242392378,0.0,1551.2871863256553,2476.594131651995,86.21498733283592,25.60520341246878,0.29699248593076993,236161,46107,210,34435,201726,0.0,65.784468804098,67.8587538564783,67.85875385647928,67.85875385647907,165.0,18.71395885629079,2.746132476998706,75.0,4.829694323144105,0.0
9,5782,30,15,50,340,300,0,34.743163046678106,224.5,15.442341676979325,0.0124542823100757,522.0,59201.43834269766,39021.75719803546,99075.23167135575,575101.6666666666,146300.0,64649.21144711812,25712.97223492279,9.8159188840891,0.0,1784.0178297594339,2807.4391443274776,84.44044401847125,25.60520341246878,0.3032338793347376,241124,47073,209,31990,209134,0.0,64.28585145017404,66.46203268650203,66.46203268650152,66.46203268650174,165.0,27.305116929097853,2.5538625378880595,75.0,7.72442425191916,0.0
9,8297,30,20,50,340,300,0,28.723276180234485,224.5,18.61459764067672,0.01180673587875181,639.0,76165.45897811274,44889.89949258471,121999.17780355262,577343.3333333334,146300.0,79128.4176635425,34197.98034152231,9.736272753426805,0.0,1935.7047568694697,2960.8821893279364,83.84341039408444,25.60520341246878,0.3053931524507184,242841,47444,209,32711,210130,0.0,63.87931585857729,65.99211487969377,65.992114879695,65.99211487969438,165.0,33.40048712553628,2.560493487025857,75.0,9.846047794117647,0.0
9,6973,30,25,50,340,300,0,31.600666766530242,224.5,16.96861932660423,0.01517081779588709,589.0,66440.21174798008,42264.00266991757,109701.01433040889,584820.0,145600.0,76252.94512225511,31483.065247188548,11.632349019352807,0.0,1868.3662756376552,2907.6588404756812,85.2354479267812,25.60520341246878,0.3004055711007011,238875,46622,208,32162,206713,0.0,64.917253080456,67.08777046363141,67.08777046363157,67.08777046363176,165.0,29.523385246391822,2.656123597581025,75.0,8.749416705552964,0.0
9,12043,30,30,50,340,300,0,22.987460468547578,224.5,22.393965565710936,0.01112304337201985,830.0,97092.79158314741,57988.183315137176,156200.56938130286,576605.0,149800.0,98464.33379344126,44756.35410670761,8.263572934264994,0.0,2051.8020209437955,3198.3904278871078,83.79786076440536,25.60520341246878,0.30555915364542396,242973,47460,214,34898,208075,0.0,63.92683984060913,65.95626332761184,65.95626332761266,65.95626332761222,165.0,40.47342565475885,2.6345419383315525,75.0,12.405463695183322,0.0
9,11136,30,35,50,340,300,0,24.00562664515263,224.5,23.855161704688495,0.01311519124919321,834.0,86762.78585593299,60361.66526251589,148320.6594448224,591565.0,150500.0,102148.73856197446,44755.34216451781,8.134942759647894,0.0,2028.0192530345453,3334.643637818557,84.1880098719846,25.60520341246878,0.30414311315119313,241847,47211,215,31010,210837,0.0,63.96364848910133,66.26334488126852,66.26334488126807,66.26334488126751,165.0,42.008737279428736,2.5638553469155774,75.0,13.077481840193705,0.0
9,14585,30,40,50,340,300,0,20.258129701996786,224.5,26.52145229108876,0.01101275644505822,1020.0,102132.7716835303,76554.05678194885,179999.60753741203,630458.3333333334,152600.0,117764.20798056292,53125.35003730998,7.315111328645715,0.0,2102.15881517699,3605.5590112608215,83.61272231443287,25.60520341246878,0.30623573427233,243511,47575,218,33880,209631,0.0,63.69138532121681,65.81054313562942,65.81054313562841,65.81054313562817,165.0,47.65754285576034,2.588994961253223,75.0,15.004431314623337,0.0
