exp_simu,cycle,nb_minifarms,cspNumber,crop_residue_price,delivered_price,collected_price,month,yearNb,biomass4milk,milk4minifarm,milk4collected,milk4traditional,milk2autoconsumption,milk2milkery,milk2market,producedMilk,minifarmIncome,minifarmExpense,collectedIncome,collectedExpense,traditionalIncome,traditionalExpense,producedCI,collectedCI,biomassHead,biomassHa,cowDensity,cowNb,milkingNb,minifarmNb,collectedNb,traditionalNb,pastoral4minifarm,pastoral4collected,pastoral4others,nmPastoral4collected,nmPastoral4others,residue4minifarm,residue4collected,residue4others,complement4minifarm,complement4collected,complement4others
0,21,30,17,50,340,300,21,1,15.940074665063051,224.5,22.001366877971474,0.0,321.0,46835.9375,22257.375,69414.3125,610255.0,148400.0,52905.80357142857,18089.477485113068,0.0,0.0,1259.9961102350735,1870.8735120078907,48.980512583859145,14.785163562113635,0.3018580815543748,240030,22323,212,32022,208008,0.0,35.961461678001356,38.55195772820076,38.76501874998915,38.80190656113353,165.0,39.66623985602863,5.1518155258764,75.0,9.556259904912837,0.0
0,22,30,17,50,340,300,22,1,16.636877401220467,224.5,21.56033092751843,0.0,371.0,44562.90625,25266.53125,70200.4375,639420.0,147700.0,54031.80042613636,17909.154005242646,0.0,0.0,1280.457406809416,2021.2707210492438,53.60881362229837,15.922089001781782,0.2970050617788537,236171,21939,211,33183,202988,0.0,39.460465885374795,42.19483642784252,42.40748517133924,42.420948229924626,165.0,38.65837416933703,5.058074185087999,75.0,9.439496314496315,0.0
0,22,30,17,50,340,300,22,1,15.438996726739198,224.5,21.64106594020676,0.0,374.0,45757.90625,31321.46875,77453.375,674197.5,148400.0,60785.51985981308,20920.740241260042,0.0,0.0,1393.957538126323,2363.1135237646904,52.34437117362545,15.922089001781782,0.30417958311063603,241876,22528,212,36555,205321,0.0,38.75917427249341,41.19960936182178,41.38880428871277,41.4418696531802,165.0,40.60498852048491,5.048639330131706,75.0,9.89103101424979,0.0
0,22,30,17,50,340,300,22,1,16.864092245507017,224.5,22.001366877971474,0.0,321.0,46835.9375,22257.375,69414.3125,610255.0,148400.0,52905.80357142857,17953.556616173468,0.0,0.0,1259.9853586439353,1870.8575773571295,52.74693630792746,15.922089001781782,0.3018580815543748,240030,22323,212,32022,208008,0.0,38.72676761852477,41.51646341707279,41.70713685995907,41.740148651098835,165.0,39.219919665152446,5.1518155258764,75.0,9.556259904912837,0.0
0,22,30,17,50,340,300,22,1,16.39133679890141,224.5,24.75657323845887,0.0,384.0,41901.0625,29038.625,71323.6875,650630.0,144900.0,62486.4453125,20528.971329930297,0.0,0.0,1324.1637420638604,2258.0503018193317,53.82166547775999,15.922089001781782,0.295830477567831,235237,21851,207,29419,205818,0.0,39.318631045535334,42.36236949969645,42.70117659537552,42.603386809578126,165.0,43.86016132153088,4.959585310138769,75.0,11.022214508851093,0.0
0,23,30,17,50,340,300,23,1,13.70162525962245,224.5,31.41245461412434,8.452187054712862,13864.0,67248.78802938084,61311.12119359356,272585.6675637087,608011.6666666666,148400.0,78031.45780579296,14517.757009345794,2940.552631761616,0.0,8557.179530236348,5920.23016708151,201.85994202593116,61.401673012184894,0.30417958311063603,241876,22528,212,36555,205321,0.0,149.21932387976966,158.88147227298467,158.18205779106512,157.98588612299855,165.0,18.665526665724485,4.642027014557462,75.0,9.89103101424979,0.0
0,23,30,17,50,340,300,23,1,12.000662971217979,224.5,33.48553444291094,10.715475763928707,13877.0,68872.3953982727,58397.39197981827,309226.13384359365,584078.3333333334,147700.0,75305.81627538735,13192.613636363636,3239.956245103101,0.0,7494.844984790294,5344.036768764214,206.73611636256834,61.401673012184894,0.2970050617788537,236171,21939,211,33183,202988,0.0,151.37796561038442,162.71944899034807,161.93333060331236,161.88356046253645,165.0,19.819221193604772,4.4253122319357905,75.0,9.439496314496315,0.0
0,23,30,17,50,340,300,23,1,11.780144425073397,224.5,36.48980269830729,11.041164517990696,13691.0,62055.53358516157,63193.39421314201,314578.0124801084,588558.3333333334,144900.0,81808.2376455817,14804.375,3489.1307338987012,0.0,7357.115629813399,5297.137317022713,207.55695463496016,61.401673012184894,0.295830477567831,235237,21851,207,29419,205818,0.0,150.52626018885164,163.3655206770224,162.11302097637346,162.47452957226636,165.0,20.73302287887371,4.300342551766093,75.0,11.022214508851093,0.0
0,23,30,17,50,340,300,23,1,13.24276945477995,224.5,33.03561330215073,9.234204236959005,13926.0,68161.06563676606,53158.208337581054,281228.5867823144,565383.3333333334,148400.0,72483.5267505586,13271.235521235521,3025.193683162364,0.0,8270.597855230733,5195.270822023175,203.4123873576808,61.401673012184894,0.3018580815543748,240030,22323,212,32022,208008,0.0,148.95329600459942,160.10338285839734,159.39850260888943,159.2764648503874,165.0,20.838582267747686,4.671343920741768,75.0,9.556259904912837,0.0
0,24,30,17,50,340,300,24,2,24.282221817952077,186.6830573165588,18.073290812800483,0.04068295281008785,471.0,38173.173041183465,26226.478981477234,65455.20909181136,450497.91675282293,89263.9728296317,40930.852006517394,12127.29680868404,14.418155214986971,0.0,1781.3815295920713,2885.637438806418,75.42503406285289,22.942755417344113,0.30417958311063603,241876,22528,212,36555,205321,59.36611463311782,59.36611463311752,59.36611463311814,59.41813525710499,59.43272599384941,150.6338853668822,41.90315987321948,5.048639330131706,30.0,1.777032690695725,0.0
