month,biomass4milk,milk4minifarm,milk4collected,milk4traditional,milk2autoconsumption,milk2milkery,milk2market,producedMilk,minifarmIncome,minifarmExpense,collectedIncome,collectedExpense,traditionalIncome,traditionalExpense,producedCI,collectedCI,biomassHead,biomassHa,cowDensity,cowNb,milkingNb,collectedNb,pastoral4minifarm,pastoral4collected,pastoral4others,residue4minifarm,residue4collected,residue4others,complement4minifarm,complement4collected,complement4others
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29931.19266055046,0.0,11296.888630415819,0.0,0.0,43.40068502596413,13.115365811298236,0.30219259911340274,240296,22841,3076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.681425986820154,111.77476190476187,8.215336719591653,4.654230773292765,14133.0,87579.0,78413.0,425731.0,292330.6,277976.66388305364,50131.6743119266,16492.157572169584,2801.4248328002327,0.0,5083.576994818034,23899.839134792914,38.55190329323899,11.65009985695244,0.30219259911340274,240296,70731,8214,30.343727897051966,30.34372789705219,30.343727897052286,1138.0435521937436,40.8707643603297,5.255302630587161,30.0,0.0,0.0
2,6.6573187360546076,113.36940476190475,21.081686228723356,19.332539112667046,14133.0,151554.5,201745.5,1443175.0,280832.8,230986.66321245264,125189.8623853211,6542.820606955002,10307.734806629835,0.0,4176.946032571337,39390.22067936435,155.52103457806868,46.99730565595195,0.30219259911340274,240296,70731,8214,122.40868938725556,122.40868938725687,122.40868938725879,923.8169193647585,22.345790489185724,4.639699843643167,30.0,0.0,0.0
3,7.872722324850619,110.2249404761905,12.816285142317076,10.054462970342128,14133.0,109398.5,122646.0,797375.0,259946.05,245765.237205214,71128.89908256881,11837.195172807029,4427.486187845304,0.0,4958.844998603651,35509.71505157051,93.22903938482406,28.17312572454577,0.30219259911340274,240296,70731,8214,73.37942777241389,73.37942777241463,73.379427772417,988.7585257952493,32.87559993394375,5.255302630587161,30.0,0.0,0.0
4,9.339356467841833,114.1471428571429,11.383792718427825,7.579909108429483,14133.0,85903.0,79493.5,449838.0,268355.8,334969.69185942673,41542.56880733945,18429.790981004535,2200.7487641756325,0.0,5811.710694028557,29485.877042881242,81.49182809944847,24.626227339874955,0.30219259911340274,240296,20733,5707,0.0,64.14121344092227,64.14121344092003,1155.7807577229398,32.62282007799677,6.959360540626456,75.0,5.573394495412844,0.0
5,10.349851873127102,114.40654761904757,18.586238037508156,10.2320697040116,7149.0,112199.0,86672.5,451554.0,270325.5,336774.29059421155,71677.33944954128,12223.62385321101,1750.4725210817098,0.0,6387.968125399922,25308.415070020834,256.9893594200703,33.89218364891169,0.13188166126953185,104869,20733,5707,0.0,181.92660550458714,107.08054667054377,1158.4481186343653,0.0,0.0,75.0,5.573394495412844,0.0
6,10.39716260981699,114.95863095238097,16.37689095736923,8.274804124350208,7149.0,103686.5,77112.0,381520.0,271259.3,337151.54615788104,61217.46559633027,12703.433236245251,1413.819424251236,0.0,6397.228098185631,23104.941993593842,184.2673624712626,24.3014858804651,0.13188166126953185,104869,20733,5707,0.0,145.03456974892472,82.82869874582698,1163.9667478602007,14.39428141511206,4.171350251629825,75.0,5.573394495412844,0.0
7,10.515419382417692,110.18886904761905,15.360889309343172,7.5050529591350275,7149.0,98358.5,72165.5,352621.0,261006.15,327692.21595013497,57134.15137614679,13616.776974416734,1281.3317824949113,0.0,6424.715267997259,22573.474796163664,167.44116678891203,22.082419241030486,0.13188166126953185,104869,20733,5707,0.0,131.79087852463465,75.26527636591337,1116.272236024345,17.794329215783254,4.613457481263427,75.0,5.573394495412844,0.0
8,11.521116556829819,107.54261904761907,9.182903731679765,3.115621121524586,7149.0,76174.0,51117.0,202705.0,322148.8,321656.95445508126,42887.01834862385,19179.666686345005,1044.1988950276243,0.0,6568.4287019903095,16872.28622521244,68.24185135021482,8.999848724174777,0.13188166126953185,104869,20733,5707,0.0,53.71232005883567,30.67490450583131,1089.8019063610375,34.56029797696247,5.698423099168372,75.0,5.573394495412844,0.0
9,14.455265029701243,109.9775595238095,7.6817638048546515,1.7003745787191946,6850.0,61297.5,36239.0,121724.0,356714.0,327261.3503613914,18573.738532110092,9749.796633660111,368.391974411166,0.0,6687.920439572949,12545.406586702855,39.40476151435103,5.196765410442327,0.13188166126953185,104869,9985,3076,0.0,28.31185970665169,15.358693969312801,1114.1511108531843,42.01947717646469,6.533094649218722,75.0,4.954128440366972,0.0
10,14.27392879724209,111.21910714285715,7.83919541025912,1.8019149784711554,6850.0,61877.5,36967.0,124432.0,360612.3,329535.37972777704,19003.94495412844,9667.745906255212,391.5963943006688,0.0,6685.360350401609,12715.638614905858,42.434844720533356,5.5963778174585626,0.13188166126953185,104869,9985,3076,0.0,30.48893900712806,16.539721816632778,1126.534705439527,41.6256336849212,6.533094649218722,75.0,4.954128440366972,0.0
11,10.813394242560276,115.66827380952378,15.523062515570802,6.911735067249424,6850.0,76223.5,49377.0,211206.0,345392.4,339023.625523862,34585.87155963303,6422.789435795955,1173.2334981099157,0.0,6494.281727377386,17420.86527583814,163.64501288500136,21.581776157747925,0.13188166126953185,104869,9985,3076,0.0,117.57702542642564,63.783501686479724,1171.0311567887888,24.319506515259135,5.9804596548249425,75.0,4.954128440366972,0.0
12,9.827819115862116,108.4870238095238,13.497036103604461,8.06802050816836,13609.0,58466.5,39346.5,173673.0,297169.8,323677.4687837182,12035.98623853211,3810.4720475278505,869.7877289909858,0.0,5949.248415567978,16299.601918845403,75.92097054876737,22.942755417344113,0.30219259911340274,240296,10818,1788,0.0,51.121925751998496,51.74607102710281,1099.1989940740966,50.82399305957121,16.623688283327844,75.0,4.678899082568807,0.0
13,7.581956424231978,114.1769642857143,10.254042850880575,6.768326042458544,13901.0,74726.0,62487.0,329371.0,298590.5,275766.938005582,30663.94495412844,7102.634384954929,2046.4669962198313,0.0,5083.419246848356,21470.440776652922,55.92740900282138,16.90084908824091,0.30219259911340274,240296,34737,4346,44.019774273188006,40.99089072228087,41.43414054152469,1127.9410674376318,38.903527118460076,6.391279160922661,30.0,0.0,0.0
14,6.573974422678886,113.69577380952379,28.307088073409812,27.740613769338104,13901.0,118034.0,148751.0,1041571.0,282071.6,203072.89560953536,82982.93577981651,213.81512108880622,7295.870892701367,0.0,4145.757992881635,36101.504686934146,225.615021993844,68.17918989534724,0.30219259911340274,240296,34737,4346,177.578802913906,165.36007794276676,167.14817825887823,789.1812824060544,8.20697311792113,2.972972611610246,30.0,0.0,0.0
15,7.787883619997393,111.76154761904763,16.907581113074947,14.614878534095851,13901.0,89095.5,94009.0,590595.0,264396.5,230265.00996167967,45892.80963302752,3825.404372369715,3172.3248037220123,0.0,4912.456446439624,31805.400335549693,135.2477613609287,40.870872529928285,0.30219259911340274,240296,34737,4346,106.4518459233611,99.1271776258819,100.19907684033882,909.6432923933809,27.704236840782407,6.224970834001397,30.0,0.0,0.0
16,9.399553032578446,111.66327380952376,14.443127419908881,10.856810783313009,13820.0,71894.5,61461.0,335524.0,263457.15,330214.42325810617,25297.75229357798,7658.295988884351,1543.9444605990113,0.0,5861.010175989439,26236.281013560445,118.22053935570455,35.72537205648867,0.30219259911340274,240296,22841,3076,0.0,84.94007312951265,85.60918188094392,1131.0204075885592,30.379060806188235,8.637092982508792,75.0,4.954128440366972,0.0
17,10.881391635149933,112.64017857142856,15.311518243876426,12.47365356836609,13820.0,73849.0,65641.5,371143.0,266089.8,332598.1800443396,26947.56880733945,6473.51088369489,1778.096830473975,0.0,6609.979549549718,31992.73666883328,162.70264119664193,49.167534025828616,0.30219259911340274,240296,22841,3076,0.0,116.89994240373746,117.82081251396403,1140.7342775476798,23.081602927786523,8.097183204539972,75.0,4.954128440366972,0.0
18,11.23285025408384,113.71952380952382,12.51601301181425,8.929725678971709,13820.0,69886.5,56588.0,293936.0,268376.65,334647.3809433553,21806.376146788993,7700.172678535921,1267.4105844722303,0.0,6704.970187798271,26885.06817193901,116.66158718818726,35.25426824909315,0.30219259911340274,240296,22841,3076,0.0,83.81998425307921,84.48026959241308,1151.5568826034262,30.581689949663588,8.637092982508792,75.0,4.954128440366972,0.0
0,34.9438790653168,186.51066086629484,12.926623432779698,0.04741766732599269,518.0,27172.99730121609,16272.785025443536,44677.45301968277,485908.12976538605,64837.69301001689,31389.829591275717,6013.985383126492,13.324993000002134,0.0,2266.0746726817792,3436.2142495883622,74.98697244423958,22.942755417344113,0.30595655044487063,243289,22533,101,35701,207588,59.021321732589655,59.02132173258953,59.021321732588945,58.389374422687695,58.48604841711689,150.97867826741037,39.35205926336518,4.961612785292686,30.0,0.8948611931482575,0.0
1,35.251554618595016,189.6086742888602,9.542995976155156,0.00744413355575537,508.0,62003.12049086117,37889.92199393933,100719.96130149202,470934.9613906767,67977.39705820032,62267.908912415536,16142.769254419858,6.597020439833915,0.0,2598.5086823719125,4130.940181097515,55.23937651822305,16.90084908824091,0.30595655044487063,243289,71186,101,35701,207588,43.47823238514688,43.478232385146946,43.47823238514679,43.47823238514699,43.47823238514713,166.52176761485313,33.22548111446139,1.7034498980476758,30.0,0.2883791757875702,0.0
2,2.1332064645661992,279.5830612564108,87.08075962523922,82.6003145803704,14282.0,583178.5699848661,812462.7524781531,5927062.029804647,660714.8654304724,39882.02190705608,542315.1404627846,1851.5367818434574,42800.955769559376,0.0,1332.222931542884,2044.570885489472,222.83945153719543,68.17918989534724,0.30595655044487063,243289,71186,101,35701,207588,175.3941856187497,175.39418561875013,175.3941856187509,175.39418561874976,175.39418561875058,27.435752015129072,5.917904405479865,1.5298063385913903,30.0,0.2883791757875702,0.0
3,46.309813946877604,209.5711248104106,12.830087516656326,0.5568191147911135,4663.912038993401,83095.83032311355,54942.265005477224,168592.95660391712,469595.98553321074,55521.26557659409,74645.70487618438,9455.710738505484,353.53729087693245,0.0,7985.826122542841,6617.89004791421,133.5839107562846,40.870872529928285,0.30595655044487063,243289,71186,101,35701,207588,105.14224962082132,105.14224962082142,105.14224962082191,105.14224962082135,105.14224962082278,104.85775037917868,20.657530951416078,1.6937258996864,30.0,0.2883791757875702,0.0
4,44.04896265511727,224.5,14.565030770622961,0.07622572735949154,621.0,63397.78390963188,38983.23633868119,105441.03112671454,503071.5,119180.0,57045.63616283711,18867.32509298562,36.346335134088854,0.0,1918.2177985449175,2884.953601977851,116.76616174598267,35.72537205648867,0.30595655044487063,243289,47408,101,35701,207588,0.0,90.58442893963894,91.90520666778947,91.90520666779018,91.90520666778966,165.0,20.6288836398538,2.5597730649736232,75.0,6.895987478656801,0.0
5,68.87406033342938,224.5,12.343883453366852,0.09143199621512428,666.0,53763.069073879204,33052.52953373737,90444.83691742901,503071.5,119180.0,48319.20847236864,16501.91466457372,40.32104738138032,0.0,2418.539110247556,3466.4134602032223,160.7010340335497,49.167534025828616,0.30595655044487063,243289,47408,101,35701,207588,0.0,124.66806461978452,126.48580311070376,126.48580311070377,126.48580311070442,165.0,13.739465114733934,2.491661865126651,75.0,6.895987478656801,0.0
6,52.173855105689704,224.5,12.256207448223478,0.04500088521979461,549.0,53369.91852698557,32600.355289240077,87953.76169129001,503071.5,119180.0,47983.0725804344,18950.376598983174,21.47221262640785,0.0,2161.8442881014544,3372.077877708367,115.2263881843102,35.25426824909315,0.30595655044487063,243289,47408,101,35701,207588,0.0,89.3899089975777,90.69326987656719,90.69326987656657,90.69326987656768,165.0,20.86392488152112,2.5597730649736232,75.0,6.895987478656801,0.0
7,48.23102679985454,224.5,12.224538816753403,0.03320816198506761,549.0,53217.22711563294,32450.251867910338,87255.00438509985,503071.5,119180.0,47855.33709994592,19517.895223299816,15.5452260195308,0.0,2171.2234353311387,3377.6865352642726,104.7046021808869,32.03505889896663,0.30595655044487063,243289,47408,101,35701,207588,0.0,81.2273560601597,82.41170180320455,82.41170180320526,82.41170180320555,165.0,22.470040032914355,2.5597730649736232,75.0,6.895987478656801,0.0
8,23.042330952001038,224.5,12.135360344336938,0.0,414.0,52816.75,32056.5625,85287.3125,639550.6666666666,119180.0,61080.619712351945,22885.496333422994,0.0,0.0,2050.321368013407,3312.7615251290576,42.673113397017545,13.056118571694283,0.30595655044487063,243289,47408,101,35701,207588,0.0,33.10479294984529,33.58748157232672,33.58748157232752,33.58748157232706,165.0,31.938937610416893,2.5597730649736232,75.0,6.895987478656801,0.0
9,13.331208307761907,224.5,15.46075753101004,0.0,401.0,32565.3125,19383.8125,52350.125,694142.3333333334,119180.0,44869.357476635516,14044.462424635754,0.0,0.0,1735.5052478037737,2793.0582488301543,24.64065413254439,7.538969539098428,0.30595655044487063,243289,22533,101,35701,207588,0.0,18.815846624315594,19.39435515066443,19.546322402463773,19.523074766112273,165.0,41.60698363044014,4.961612785292686,75.0,7.960720614294153,0.0
10,13.951850035805096,224.5,15.46075753101004,0.0,401.0,32565.3125,19383.8125,52350.125,694142.3333333334,119180.0,44869.357476635516,13990.439115128136,0.0,0.0,1735.495494048386,2793.0425692534955,26.53543104289308,8.118688946451304,0.30595655044487063,243289,22533,101,35701,207588,0.0,20.262716968799538,20.885710702086634,21.021709857930936,21.000904987922723,165.0,41.32245448507125,4.961612785292686,75.0,7.960720614294153,0.0
11,38.04154184851578,224.5,15.527353892345023,0.04121969385183049,518.0,32691.91527351634,19544.94330265715,53364.853757661054,639550.6666666666,119180.0,41404.26225592186,11831.172626955467,14.236575781413864,0.0,1926.5907138508462,2866.7309304983382,102.33078460704132,31.30877386268743,0.30595655044487063,243289,22533,101,35701,207588,0.0,78.14079682116865,80.5432992500708,80.04053852234205,80.11744982021392,165.0,29.94064639233752,4.961612785292686,75.0,7.960720614294153,0.0
12,9.318362258723885,214.87527665040344,28.676831226429965,10.598332897681663,13941.0,60233.09106905114,56613.511295171695,300026.03052460094,559864.1379864853,53378.38823323701,68809.7913863471,3640.9676327552193,2814.0499298523087,0.0,5819.742319168844,5046.568061105216,147.06182945387667,44.99453004181998,0.30595655044487063,243289,22533,101,35701,207588,115.75055330080687,115.75055330080653,115.7505533008065,114.87082491404979,115.00540394592257,94.24944669919313,26.747830960368912,4.906558015161244,30.0,0.8948611931482575,0.0
13,44.76914725509716,220.9509922946578,13.09935593016966,0.10095014040821952,676.0,85225.86021870322,52863.74234123092,143760.4863281229,548841.5165137544,59535.866075305494,85548.65020636801,11607.413863800894,97.18807050074366,0.0,2114.333957687449,3135.17660104979,108.33353453088682,33.14535452257041,0.30595655044487063,243289,71186,101,35701,207588,85.26798972621039,85.26798972621016,85.26798972621054,85.2679897262103,85.26798972621056,124.73201027378963,24.72195953882694,1.7034498980476758,30.0,0.2883791757875702,0.0
14,1.9941324524669324,314.5,95.87199010183687,93.75,14282.0,642327.875,907115.75,6695983.25,743127.3333333334,34340.0,597209.8646362098,871.5736040609137,48247.12987588652,0.0,1245.3559248710785,1921.6658508161117,437.0249437908179,133.71064426060212,0.30595655044487063,243289,71186,101,35701,207588,210.0,187.71628438184067,187.5,187.5,187.5,0.0,0.0,0.0,30.0,0.2883791757875702,0.0
15,2.657559003709778,259.81857123498435,72.13415348764951,70.3125,14282.0,482957.21573293797,680725.3037117955,5024405.738194734,582301.7354310197,35061.75203449394,425947.6746513795,889.8921836165974,30132.976414745863,0.0,1659.6725672771122,2555.765727338954,261.9800968228943,80.15452670914597,0.30595655044487063,243289,71186,101,35701,207588,206.2013050816108,187.67976889818624,187.5,187.5,187.5,3.5730298737324184,0.03434624700171069,0.0,30.0,0.2883791757875702,0.0
16,4.17291030274642,224.5,51.0330992898503,42.47599103293349,14282.0,227075.12995651513,295359.65385822434,2073841.1397189144,503071.5,119180.0,200773.55727007418,14786.802030456853,12255.109486234618,0.0,2606.0660648659737,3601.4314050745006,228.99771526851242,70.06335102331074,0.30595655044487063,243289,47408,101,35701,207588,0.0,173.24060570438962,180.24127909605346,180.24127909605457,180.24127909605494,165.0,6.017760760667565,1.6720507374282567,75.0,6.895987478656801,0.0
