#;bioma;champsTrouve;champsTrouvebiomass;consumed;eauTrouve;hcarbon_impact;herd_kmT;herd_size;htype;income;location;milk;milking_nb;name;pcTrouve;stock;stock_month;test;total_crb_consumed;total_pb_consumed;transhumance
411;0.0;true;true;0.0;true;0.0;0.0;32.0;'medium';0.0;{53212.28200893774,29191.803204287684,0.0};0.0;3.0;'Troupeau411';false;0.0;0.0;'ras';0.0;0.0;false
412;0.0;true;true;0.0;true;0.0;5.0;15.0;'minifarm';0.0;{46663.07806937618,16170.99889733922,0.0};0.0;12.0;'Troupeau412';true;0.0;0.0;'cell9242';0.0;0.0;false
413;0.0;true;true;0.0;true;0.0;0.0;122.0;'large';0.0;{40659.64112477807,45572.815074319624,0.0};0.0;12.0;'Troupeau413';false;0.0;0.0;'ras';0.0;0.0;false
414;0.0;true;true;0.0;true;0.0;0.0;33.0;'medium';0.0;{10096.689406824085,65314.03450743503,0.0};0.0;3.0;'Troupeau414';false;0.0;0.0;'ras';0.0;0.0;false
415;0.0;true;true;0.0;false;0.0;9.0;116.0;'large';0.0;{91961.7386513437,30031.855095058552,0.0};0.0;11.0;'Troupeau415';true;0.0;0.0;'cell17108';0.0;0.0;false
416;0.0;true;true;0.0;false;0.0;0.0;14.0;'small';0.0;{72859.89382762245,53133.28209125744,0.0};0.0;1.0;'Troupeau416';false;0.0;0.0;'ras';0.0;0.0;false
417;0.0;true;true;0.0;false;0.0;9.0;95.0;'large';0.0;{91961.7386513437,25831.59564120421,0.0};0.0;9.0;'Troupeau417';true;0.0;0.0;'cell14128';0.0;0.0;false
418;0.0;false;true;0.0;false;0.0;0.0;141.0;'large';0.0;{122524.69036929768,51873.20425510113,0.0};0.0;14.0;'Troupeau418';false;0.0;0.0;'ras';0.0;0.0;false
419;0.0;true;true;0.0;true;0.0;10.0;15.0;'minifarm';0.0;{109972.049485138,30871.90698582942,0.0};0.0;12.0;'Troupeau419';true;0.0;0.0;'cell15540';0.0;0.0;false
420;0.0;true;true;0.0;true;0.0;7.0;15.0;'minifarm';0.0;{115429.71943477265,3150.194590390757,0.0};0.0;12.0;'Troupeau420';true;0.0;0.0;'cell2267';0.0;0.0;false
421;0.0;false;true;0.0;true;0.0;0.0;3.0;'small';0.0;{27561.233245654937,1050.0648634635857,0.0};0.0;0.0;'Troupeau421';false;0.0;0.0;'ras';0.0;0.0;false
422;0.0;false;true;0.0;false;0.0;0.0;36.0;'medium';0.0;{103422.84554557643,86315.33177670673,0.0};0.0;3.0;'Troupeau422';false;0.0;0.0;'ras';0.0;0.0;false
423;0.0;true;true;0.0;true;0.0;0.0;28.0;'medium';0.0;{41205.408119741536,1470.09080884902,0.0};0.0;2.0;'Troupeau423';false;0.0;0.0;'ras';0.0;0.0;false
424;0.0;false;true;0.0;false;0.0;0.0;-5.0;'large';0.0;{123616.22435922461,74554.60530591458,0.0};0.0;-1.0;'Troupeau424';false;0.0;0.0;'ras';0.0;0.0;false
425;0.0;true;true;0.0;false;0.0;0.0;36.0;'medium';0.0;{115429.71943477265,12810.791334255746,0.0};0.0;3.0;'Troupeau425';false;0.0;0.0;'ras';0.0;0.0;false
426;0.0;true;true;0.0;false;0.0;0.0;8.0;'small';0.0;{72859.89382762245,60273.72316280982,0.0};0.0;0.0;'Troupeau426';false;0.0;0.0;'ras';0.0;0.0;false
427;0.0;true;true;0.0;false;0.0;0.0;188.0;'large';0.0;{115975.4864297361,59013.64532665352,0.0};0.0;18.0;'Troupeau427';false;0.0;0.0;'ras';0.0;0.0;false
428;0.0;true;true;0.0;false;0.0;0.0;79.0;'large';0.0;{96873.64160601488,66574.11234359133,0.0};0.0;7.0;'Troupeau428';false;0.0;0.0;'ras';0.0;0.0;false
429;0.0;true;true;0.0;true;0.0;7.0;15.0;'minifarm';0.0;{111063.58347506494,36332.244275840065,0.0};0.0;12.0;'Troupeau429';true;0.0;0.0;'cell18294';0.0;0.0;false
430;0.0;true;true;0.0;true;0.0;10.0;15.0;'minifarm';0.0;{101785.54456068604,1470.09080884902,0.0};0.0;12.0;'Troupeau430';true;0.0;0.0;'cell653';0.0;0.0;false
431;0.0;true;true;0.0;true;0.0;0.0;61.0;'large';0.0;{17191.660341349118,60693.749108195254,0.0};0.0;6.0;'Troupeau431';false;0.0;0.0;'ras';0.0;0.0;false
